                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
142 bandymas        , 15000.0000,     0.0000, 16500.0000,     0.2383,   119.3124,   118.7853,   149.2881,   118.7853,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0765,    25.0000,     0.0000,     0.0000,    28.4307,    82.0000,   374.6836,    80.1678,    86.2167,   641.1075,     0.2922,   776.3705,    53.7560,     5.0000,     0.0000,          E,          0,    0.31837,     6.0000,     6.1589,
142 bandymas        , 15000.0000,     0.0000, 16500.0000,     0.2471,   124.0000,   123.2076,   154.8108,   123.2076,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0699,    25.0000,     0.0000,     0.0000,    28.7927,    82.0000,   377.6443,    80.2194,    86.3188,   649.2704,     0.2908,   777.9689,    53.8700,     5.0000,     0.0000,          E,          0,    0.33050,     6.0000,     5.9101,
142 bandymas        , 15000.0000,     0.0000, 16500.0000,     0.2565,   129.0000,   127.9245,   160.6972,   127.9245,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0641,    25.0000,     0.0000,     0.0000,    29.3085,    82.0000,   383.9901,    80.5124,    86.5447,   660.9030,     0.2905,   781.5259,    53.9976,     5.0000,     0.0000,          E,          0,    0.34037,     6.0000,     5.6925,
142 bandymas        , 15000.0000,     0.0000, 16500.0000,     0.2661,   134.0000,   132.7451,   166.7090,   132.7451,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0592,    25.0000,     0.0000,     0.0000,    30.0359,    82.0000,   392.6141,    80.9543,    86.8565,   677.3049,     0.2898,   786.4516,    54.1634,     5.0000,     0.0000,          E,          0,    0.34820,     6.0000,     5.5052,
142 bandymas        , 15000.0000,     0.0000, 16500.0000,     0.2759,   139.0000,   137.6470,   172.8163,   137.6470,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0551,    25.0000,     0.0000,     0.0000,    30.9647,    82.0000,   401.6657,    81.3941,    87.1734,   698.2490,     0.2876,   791.4340,    54.3826,     5.0000,     0.0000,          E,          0,    0.35556,     6.0000,     5.3332,
142 bandymas        , 15000.0000,     0.0000, 16500.0000,     0.2856,   144.0000,   142.5490,   178.9184,   142.5490,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0516,    25.0000,     0.0000,     0.0000,    32.0728,    82.0000,   410.8498,    81.8223,    87.4887,   723.2374,     0.2840,   796.3691,    54.6487,     5.0000,     0.0000,          E,          0,    0.36246,     6.0000,     5.1763,
142 bandymas        , 15000.0000,     0.0000, 16500.0000,     0.2953,   149.0000,   147.4510,   185.0164,   147.4510,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0489,    25.0000,     0.0000,     0.0000,    33.5082,    82.0000,   421.3395,    82.3112,    87.8522,   755.6035,     0.2788,   802.1038,    55.0026,     5.0000,     0.0000,          E,          0,    0.36791,     6.0000,     5.0404,
142 bandymas        , 15000.0000,     0.0000, 16500.0000,     0.3051,   154.0000,   152.3841,   191.1463,   152.3841,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0466,    25.0000,     0.0000,     0.0000,    34.9180,    82.0000,   430.4952,    82.7171,    88.1830,   787.3961,     0.2734,   807.5087,    55.3427,     5.0000,     0.0000,          E,          0,    0.37433,     6.0000,     4.9055,
142 bandymas        , 15000.0000,     0.0000, 16500.0000,     0.3150,   159.0000,   157.3510,   197.3134,   157.3510,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0447,    25.0000,     0.0000,     0.0000,    36.5703,    82.0000,   440.6560,    83.1715,    88.5666,   824.6550,     0.2672,   813.9542,    55.7440,     5.0000,     0.0000,          E,          0,    0.37969,     6.0000,     4.7854,
