                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.2272,   113.4275,   113.2335,   139.5692,   113.2335,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0764,    25.0000,     0.0000,     0.0000,    24.9636,    82.0000,   345.7634,    77.4922,    83.7453,   562.9248,     0.3071,   739.6485,    51.5867,     5.0000,     0.0000,          E,          0,    0.36027,     6.0000,     5.6656,
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.2358,   118.0000,   117.5472,   144.8549,   117.5472,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0698,    25.0000,     0.0000,     0.0000,    25.1967,    82.0000,   347.5904,    77.5174,    83.8172,   568.1823,     0.3059,   740.7198,    51.7564,     5.0000,     0.0000,          E,          0,    0.37359,     6.0000,     5.4491,
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.2452,   123.0000,   122.2642,   150.6306,   122.2642,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0637,    25.0000,     0.0000,     0.0000,    25.6124,    82.0000,   350.8620,    77.6071,    83.9383,   577.5550,     0.3037,   742.5701,    52.0498,     5.0000,     0.0000,          E,          0,    0.38656,     6.0000,     5.2412,
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.2546,   128.0000,   126.9811,   156.4029,   126.9811,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0588,    25.0000,     0.0000,     0.0000,    26.2538,    82.0000,   357.4750,    77.9012,    84.1669,   592.0199,     0.3019,   746.1126,    52.4503,     5.0000,     0.0000,          E,          0,    0.39556,     6.0000,     5.0740,
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.2642,   133.0000,   131.7647,   162.2527,   131.7647,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0546,    25.0000,     0.0000,     0.0000,    27.0045,    82.0000,   366.2130,    78.3406,    84.4670,   608.9463,     0.3007,   750.7555,    52.8554,     5.0000,     0.0000,          E,          0,    0.40210,     6.0000,     4.9317,
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.2739,   138.0000,   136.6667,   168.2432,   136.6667,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0510,    25.0000,     0.0000,     0.0000,    27.9024,    82.0000,   375.6800,    78.8164,    84.7999,   629.1955,     0.2985,   755.9127,    53.1445,     5.0000,     0.0000,          E,          0,    0.40791,     6.0000,     4.8007,
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.2837,   143.0000,   141.5686,   174.2264,   141.5686,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0483,    25.0000,     0.0000,     0.0000,    29.1150,    82.0000,   387.1277,    79.4054,    85.2166,   656.5378,     0.2948,   762.4053,    53.4310,     5.0000,     0.0000,          E,          0,    0.41130,     6.0000,     4.6922,
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.2934,   148.0000,   146.4706,   180.2057,   146.4706,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0460,    25.0000,     0.0000,     0.0000,    30.5383,    82.0000,   398.9571,    80.0036,    85.6482,   688.6331,     0.2897,   769.1093,    53.7695,     5.0000,     0.0000,          E,          0,    0.41409,     6.0000,     4.5940,
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.3032,   153.0000,   151.3907,   186.2019,   151.3907,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0441,    25.0000,     0.0000,     0.0000,    32.2074,    82.0000,   409.9798,    80.5046,    86.0326,   726.2720,     0.2822,   775.1276,    54.1682,     5.0000,     0.0000,          E,          0,    0.41759,     6.0000,     4.4975,
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.3130,   158.0000,   156.3576,   192.2497,   156.3576,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0424,    25.0000,     0.0000,     0.0000,    33.8024,    82.0000,   419.5898,    80.9202,    86.3867,   762.2382,     0.2752,   780.9413,    54.5395,     5.0000,     0.0000,          E,          0,    0.42244,     6.0000,     4.3983,
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.3228,   163.0000,   161.3245,   198.2911,   161.3245,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0411,    25.0000,     0.0000,     0.0000,    35.6316,    82.0000,   430.5931,    81.4380,    86.8141,   803.4880,     0.2680,   787.9301,    54.9663,     5.0000,     0.0000,          E,          0,    0.42567,     6.0000,     4.3133,
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.3327,   168.0000,   166.2914,   204.3277,   166.2914,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0400,    25.0000,     0.0000,     0.0000,    37.7332,    82.0000,   443.1964,    82.0760,    87.3280,   850.8766,     0.2604,   796.3019,    55.4571,     5.0000,     0.0000,          E,          0,    0.42719,     6.0000,     4.2424,
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.3425,   173.0000,   171.2583,   210.3572,   171.2583,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0390,    25.0000,     0.0000,     0.0000,    40.1006,    82.0000,   459.7067,    82.6629,    87.8088,   904.2623,     0.2542,   804.0721,    56.0086,     5.0000,     0.0000,          E,          0,    0.42496,     6.0000,     4.1959,
11 bandymas         , 15000.0000,   -10.0000, 15000.0000,     0.3523,   178.0000,   176.2252,   216.3819,   176.2252,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0383,    25.0000,     0.0000,     0.0000,    42.7185,    82.0000,   478.6570,    83.2402,    88.2657,   963.2948,     0.2484,   811.4841,    56.6152,     5.0000,     0.0000,          E,          0,    0.42072,     6.0000,     4.1645,
