                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
163 bandymas        , 15000.0000,    10.0000, 19500.0000,     0.2590,   130.3350,   129.1840,   165.3778,   129.1840,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0763,    25.0000,     0.0000,     0.0000,    36.2033,    82.0000,   437.2577,    84.1698,    89.6114,   816.3787,     0.2678,   829.2060,    56.5110,     5.0000,     0.0000,          E,          0,    0.34391,     6.0000,     5.3017,
163 bandymas        , 15000.0000,    10.0000, 19500.0000,     0.2681,   135.0000,   133.7255,   171.1483,   133.7255,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0701,    25.0000,     0.0000,     0.0000,    36.6029,    82.0000,   441.8226,    84.4013,    89.8013,   825.3898,     0.2676,   832.2054,    56.5787,     5.0000,     0.0000,          E,          0,    0.35342,     6.0000,     5.1350,
163 bandymas        , 15000.0000,    10.0000, 19500.0000,     0.2778,   140.0000,   138.6274,   177.3721,   138.6274,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0644,    25.0000,     0.0000,     0.0000,    37.2547,    82.0000,   447.7219,    84.6924,    90.0352,   840.0864,     0.2665,   835.9302,    56.7153,     5.0000,     0.0000,          E,          0,    0.36266,     6.0000,     4.9745,
163 bandymas        , 15000.0000,    10.0000, 19500.0000,     0.2876,   145.0000,   143.5294,   183.5913,   143.5294,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0598,    25.0000,     0.0000,     0.0000,    38.2771,    82.0000,   455.4715,    85.0689,    90.3287,   863.1431,     0.2638,   840.6576,    56.9590,     5.0000,     0.0000,          E,          0,    0.37015,     6.0000,     4.8370,
163 bandymas        , 15000.0000,    10.0000, 19500.0000,     0.2973,   150.0000,   148.4314,   189.8039,   148.4314,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0559,    25.0000,     0.0000,     0.0000,    39.3321,    82.0000,   463.0164,    85.4308,    90.6120,   886.9333,     0.2610,   845.2282,    57.2073,     5.0000,     0.0000,          E,          0,    0.37753,     6.0000,     4.7082,
163 bandymas        , 15000.0000,    10.0000, 19500.0000,     0.3071,   155.0000,   153.3775,   196.0674,   153.3775,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0524,    25.0000,     0.0000,     0.0000,    40.5139,    82.0000,   471.6918,    85.7512,    90.8941,   913.5812,     0.2582,   850.0230,    57.4871,     5.0000,     0.0000,          E,          0,    0.38387,     6.0000,     4.5933,
163 bandymas        , 15000.0000,    10.0000, 19500.0000,     0.3169,   160.0000,   158.3444,   202.3515,   158.3444,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0497,    25.0000,     0.0000,     0.0000,    42.0399,    82.0000,   482.9199,    86.1212,    91.2229,   947.9924,     0.2547,   855.6824,    57.8619,     5.0000,     0.0000,          E,          0,    0.38796,     6.0000,     4.4991,
163 bandymas        , 15000.0000,    10.0000, 19500.0000,     0.3268,   165.0000,   163.3112,   208.6290,   163.3112,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0474,    25.0000,     0.0000,     0.0000,    43.9672,    82.0000,   497.2188,    86.5721,    91.6020,   991.4523,     0.2508,   862.2477,    58.5561,     5.0000,     0.0000,          E,          0,    0.38942,     6.0000,     4.4271,
163 bandymas        , 15000.0000,    10.0000, 19500.0000,     0.3366,   170.0000,   168.2781,   214.9007,   168.2781,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0455,    25.0000,     0.0000,     0.0000,    46.0722,    82.0000,   512.8676,    87.0398,    91.9847,  1038.9203,     0.2468,   868.9575,    59.4108,     5.0000,     0.0000,          E,          0,    0.38977,     6.0000,     4.3665,
163 bandymas        , 15000.0000,    10.0000, 19500.0000,     0.3464,   175.0000,   173.2450,   221.1669,   173.2450,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0438,    25.0000,     0.0000,     0.0000,    48.2987,    82.0000,   529.5069,    87.5142,    92.3722,  1089.1288,     0.2431,   875.7513,    60.3195,     5.0000,     0.0000,          E,          0,    0.38936,     6.0000,     4.3145,
163 bandymas        , 15000.0000,    10.0000, 19500.0000,     0.3562,   180.0000,   178.2119,   227.4262,   178.2119,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0424,    25.0000,     0.0000,     0.0000,    50.7350,    82.0000,   548.1161,    88.1637,    92.8563,  1144.0652,     0.2395,   884.2598,    61.3197,     5.0000,     0.0000,          E,          0,    0.38756,     6.0000,     4.2750,
