                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
17 000-1            , 17000.0000,     0.0000, 21000.0000,     0.2799,   135.4427,   134.1595,   173.9724,   134.1595,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0759,    25.0000,     0.0000,     0.0000,    40.5132,    82.0000,   456.1497,    84.9299,    89.3675,   913.5665,     0.2497,   827.8517,    58.0030,     5.0000,     0.0000,          E,          0,    0.38139,     6.0000,     4.6913,
17 000-1            , 17000.0000,     0.0000, 21000.0000,     0.2891,   140.0000,   138.6274,   179.7108,   138.6274,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0700,    25.0000,     0.0000,     0.0000,    41.0272,    82.0000,   460.0728,    85.0935,    89.5034,   925.1562,     0.2486,   829.9991,    58.1354,     5.0000,     0.0000,          E,          0,    0.39061,     6.0000,     4.5633,
17 000-1            , 17000.0000,     0.0000, 21000.0000,     0.2992,   145.0000,   143.5294,   186.0017,   143.5294,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0645,    25.0000,     0.0000,     0.0000,    41.7982,    82.0000,   465.4694,    85.3027,    89.6742,   942.5420,     0.2469,   832.6793,    58.3685,     5.0000,     0.0000,          E,          0,    0.39960,     6.0000,     4.4380,
17 000-1            , 17000.0000,     0.0000, 21000.0000,     0.3093,   150.0000,   148.4314,   192.2850,   148.4314,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0599,    25.0000,     0.0000,     0.0000,    42.6467,    82.0000,   471.4172,    85.4781,    89.8576,   961.6759,     0.2451,   835.8400,    58.6295,     5.0000,     0.0000,          E,          0,    0.40789,     6.0000,     4.3239,
17 000-1            , 17000.0000,     0.0000, 21000.0000,     0.3195,   155.0000,   153.3775,   198.6189,   153.3775,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0560,    25.0000,     0.0000,     0.0000,    43.7579,    82.0000,   479.4942,    85.7504,    90.1095,   986.7344,     0.2430,   840.1699,    58.9991,     5.0000,     0.0000,          E,          0,    0.41423,     6.0000,     4.2267,
17 000-1            , 17000.0000,     0.0000, 21000.0000,     0.3297,   160.0000,   158.3444,   204.9727,   158.3444,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0527,    25.0000,     0.0000,     0.0000,    45.1175,    82.0000,   489.5076,    86.0970,    90.4116,  1017.3931,     0.2406,   845.3329,    59.4693,     5.0000,     0.0000,          E,          0,    0.41873,     6.0000,     4.1445,
17 000-1            , 17000.0000,     0.0000, 21000.0000,     0.3399,   165.0000,   163.3112,   211.3176,   163.3112,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0499,    25.0000,     0.0000,     0.0000,    46.7605,    82.0000,   501.7305,    86.5259,    90.7687,  1054.4426,     0.2379,   851.4092,    60.0541,     5.0000,     0.0000,          E,          0,    0.42118,     6.0000,     4.0779,
17 000-1            , 17000.0000,     0.0000, 21000.0000,     0.3501,   170.0000,   168.2781,   217.6563,   168.2781,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0476,    25.0000,     0.0000,     0.0000,    48.6507,    82.0000,   515.8516,    87.0501,    91.1680,  1097.0656,     0.2351,   858.2776,    60.7350,     5.0000,     0.0000,          E,          0,    0.42194,     6.0000,     4.0240,
17 000-1            , 17000.0000,     0.0000, 21000.0000,     0.3603,   175.0000,   173.2450,   223.9884,   173.2450,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0457,    25.0000,     0.0000,     0.0000,    50.7368,    82.0000,   531.2939,    87.6992,    91.6060,  1144.1077,     0.2322,   866.1080,    61.4876,     5.0000,     0.0000,          E,          0,    0.42159,     6.0000,     3.9792,
