                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
4 bandymas          , 15000.0000,     0.0000, 15000.0000,     0.2272,   113.4275,   113.2335,   142.3505,   113.2335,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0768,    25.0000,     0.0000,     0.0000,    25.3124,    82.0000,   350.0446,    78.9711,    85.3743,   570.7914,     0.3066,   762.7581,    52.6189,     5.0000,     0.0000,          E,          0,    0.40666,     6.0000,     4.9880,
4 bandymas          , 15000.0000,     0.0000, 15000.0000,     0.2358,   118.0000,   117.5472,   147.7415,   117.5472,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0701,    25.0000,     0.0000,     0.0000,    25.5822,    82.0000,   352.1716,    79.0123,    85.4565,   576.8749,     0.3052,   764.0109,    52.8241,     5.0000,     0.0000,          E,          0,    0.41952,     6.0000,     4.8204,
4 bandymas          , 15000.0000,     0.0000, 15000.0000,     0.2452,   123.0000,   122.2642,   153.6323,   122.2642,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0640,    25.0000,     0.0000,     0.0000,    26.0506,    82.0000,   355.8913,    79.1238,    85.5919,   587.4360,     0.3029,   766.1288,    53.0711,     5.0000,     0.0000,          E,          0,    0.43168,     6.0000,     4.6598,
4 bandymas          , 15000.0000,     0.0000, 15000.0000,     0.2546,   128.0000,   126.9811,   159.5197,   126.9811,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0591,    25.0000,     0.0000,     0.0000,    26.7307,    82.0000,   362.8966,    79.4346,    85.8318,   602.7735,     0.3010,   769.9216,    53.2579,     5.0000,     0.0000,          E,          0,    0.43957,     6.0000,     4.5317,
4 bandymas          , 15000.0000,     0.0000, 15000.0000,     0.2642,   133.0000,   131.7647,   165.4860,   131.7647,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0550,    25.0000,     0.0000,     0.0000,    27.4975,    82.0000,   371.8856,    79.8832,    86.1379,   620.0632,     0.2999,   774.7457,    53.4397,     5.0000,     0.0000,          E,          0,    0.44499,     6.0000,     4.4226,
4 bandymas          , 15000.0000,     0.0000, 15000.0000,     0.2739,   138.0000,   136.6667,   171.5959,   136.6667,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0514,    25.0000,     0.0000,     0.0000,    28.4536,    82.0000,   381.9536,    80.3850,    86.4884,   641.6245,     0.2976,   780.2883,    53.6713,     5.0000,     0.0000,          E,          0,    0.44926,     6.0000,     4.3238,
4 bandymas          , 15000.0000,     0.0000, 15000.0000,     0.2837,   143.0000,   141.5686,   177.6984,   141.5686,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0487,    25.0000,     0.0000,     0.0000,    29.7655,    82.0000,   394.3716,    81.0178,    86.9353,   671.2065,     0.2938,   787.4031,    54.0002,     5.0000,     0.0000,          E,          0,    0.45059,     6.0000,     4.2452,
4 bandymas          , 15000.0000,     0.0000, 15000.0000,     0.2934,   148.0000,   146.4706,   183.7968,   146.4706,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0463,    25.0000,     0.0000,     0.0000,    31.2758,    82.0000,   406.8850,    81.6363,    87.3814,   705.2635,     0.2885,   794.4833,    54.3800,     5.0000,     0.0000,          E,          0,    0.45172,     6.0000,     4.1725,
4 bandymas          , 15000.0000,     0.0000, 15000.0000,     0.3032,   153.0000,   151.3907,   189.9125,   151.3907,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0444,    25.0000,     0.0000,     0.0000,    32.8362,    82.0000,   417.4604,    82.1049,    87.7444,   740.4517,     0.2819,   800.3005,    54.7673,     5.0000,     0.0000,          E,          0,    0.45492,     6.0000,     4.0938,
