                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
Trumpas 2           , 16000.0000,    -5.0000, 21000.0000,     0.2743,   135.4050,   134.1226,   169.4672,   134.1226,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0757,    25.0000,     0.0000,     0.0000,    39.3872,    82.0000,   451.3430,    83.5126,    88.2040,   888.1748,     0.2541,   809.4313,    56.9656,     5.0000,     0.0000,          E,          0,    0.37547,     6.0000,     4.7876,
Trumpas 2           , 16000.0000,    -5.0000, 21000.0000,     0.2834,   140.0000,   138.6274,   175.1090,   138.6274,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0697,    25.0000,     0.0000,     0.0000,    39.8349,    82.0000,   455.1494,    83.6874,    88.3523,   898.2714,     0.2533,   811.7165,    57.0340,     5.0000,     0.0000,          E,          0,    0.38473,     6.0000,     4.6551,
Trumpas 2           , 16000.0000,    -5.0000, 21000.0000,     0.2933,   145.0000,   143.5294,   181.2439,   143.5294,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0642,    25.0000,     0.0000,     0.0000,    40.5408,    82.0000,   460.4988,    83.9207,    88.5396,   914.1879,     0.2519,   814.6558,    57.1680,     5.0000,     0.0000,          E,          0,    0.39358,     6.0000,     4.5270,
Trumpas 2           , 16000.0000,    -5.0000, 21000.0000,     0.3032,   150.0000,   148.4314,   187.3717,   148.4314,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0596,    25.0000,     0.0000,     0.0000,    41.4905,    82.0000,   467.2172,    84.1771,    88.7530,   935.6038,     0.2497,   818.1232,    57.3675,     5.0000,     0.0000,          E,          0,    0.40104,     6.0000,     4.4148,
Trumpas 2           , 16000.0000,    -5.0000, 21000.0000,     0.3132,   155.0000,   153.3775,   193.5501,   153.3775,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0558,    25.0000,     0.0000,     0.0000,    42.5170,    82.0000,   474.4234,    84.3959,    88.9675,   958.7518,     0.2474,   821.7893,    57.5833,     5.0000,     0.0000,          E,          0,    0.40797,     6.0000,     4.3111,
Trumpas 2           , 16000.0000,    -5.0000, 21000.0000,     0.3233,   160.0000,   158.3444,   199.7475,   158.3444,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0524,    25.0000,     0.0000,     0.0000,    43.7910,    82.0000,   483.4714,    84.6630,    89.2148,   987.4809,     0.2448,   825.9854,    57.8630,     5.0000,     0.0000,          E,          0,    0.41315,     6.0000,     4.2227,
Trumpas 2           , 16000.0000,    -5.0000, 21000.0000,     0.3333,   165.0000,   163.3112,   205.9375,   163.3112,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0496,    25.0000,     0.0000,     0.0000,    45.3515,    82.0000,   494.8778,    85.0468,    89.5402,  1022.6691,     0.2420,   831.4805,    58.3228,     5.0000,     0.0000,          E,          0,    0.41614,     6.0000,     4.1512,
Trumpas 2           , 16000.0000,    -5.0000, 21000.0000,     0.3433,   170.0000,   168.2781,   212.1218,   168.2781,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0474,    25.0000,     0.0000,     0.0000,    47.3566,    82.0000,   509.7845,    85.5795,    89.9650,  1067.8844,     0.2387,   838.6199,    59.0238,     5.0000,     0.0000,          E,          0,    0.41610,     6.0000,     4.1004,
Trumpas 2           , 16000.0000,    -5.0000, 21000.0000,     0.3533,   175.0000,   173.2450,   218.2997,   173.2450,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0455,    25.0000,     0.0000,     0.0000,    49.4097,    82.0000,   525.0134,    86.1209,    90.3858,  1114.1816,     0.2356,   845.7291,    59.7315,     5.0000,     0.0000,          E,          0,    0.41580,     6.0000,     4.0541,
