                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.2905,   132.2416,   131.0212,   178.4879,   131.0212,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0764,    25.0000,     0.0000,     0.0000,    39.7889,    82.0000,   433.5743,    85.8540,    89.6230,   897.2343,     0.2416,   833.1312,    59.7432,     5.0000,     0.0000,          E,          0,    0.41167,     6.0000,     4.4461,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.3008,   137.0000,   135.6863,   184.7699,   135.6863,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0701,    25.0000,     0.0000,     0.0000,    40.3783,    82.0000,   437.3424,    86.0227,    89.7698,   910.5237,     0.2402,   835.3519,    59.9099,     5.0000,     0.0000,          E,          0,    0.42248,     6.0000,     4.3153,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.3115,   142.0000,   140.5882,   191.3615,   140.5882,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0645,    25.0000,     0.0000,     0.0000,    40.9973,    82.0000,   441.6392,    86.1381,    89.9084,   924.4823,     0.2389,   837.8372,    60.0780,     5.0000,     0.0000,          E,          0,    0.43330,     6.0000,     4.1891,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.3222,   147.0000,   145.4902,   197.9460,   145.4902,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0599,    25.0000,     0.0000,     0.0000,    41.9387,    82.0000,   448.4129,    86.3871,    90.1287,   945.7103,     0.2371,   841.6930,    60.3958,     5.0000,     0.0000,          E,          0,    0.44144,     6.0000,     4.0840,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.3329,   152.0000,   150.3973,   204.5291,   150.3973,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0560,    25.0000,     0.0000,     0.0000,    43.1110,    82.0000,   456.9614,    86.7214,    90.4020,   972.1472,     0.2350,   846.4069,    60.8161,     5.0000,     0.0000,          E,          0,    0.44759,     6.0000,     3.9944,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.3438,   157.0000,   155.3642,   211.1830,   155.3642,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0526,    25.0000,     0.0000,     0.0000,    44.5042,    82.0000,   467.4307,    87.1407,    90.7290,  1003.5616,     0.2329,   851.9834,    61.3298,     5.0000,     0.0000,          E,          0,    0.45180,     6.0000,     3.9181,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.3546,   162.0000,   160.3311,   217.8267,   160.3311,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0498,    25.0000,     0.0000,     0.0000,    46.1132,    82.0000,   479.7399,    87.6792,    91.1183,  1039.8451,     0.2307,   858.7695,    61.9341,     5.0000,     0.0000,          E,          0,    0.45405,     6.0000,     3.8551,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.3654,   167.0000,   165.2980,   224.4621,   165.2980,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0476,    25.0000,     0.0000,     0.0000,    48.0312,    82.0000,   494.3829,    88.3708,    91.5895,  1083.0969,     0.2282,   867.3199,    62.6709,     5.0000,     0.0000,          E,          0,    0.45402,     6.0000,     3.8064,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.3762,   172.0000,   170.2649,   231.0861,   170.2649,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0457,    25.0000,     0.0000,     0.0000,    50.1693,    82.0000,   510.7325,    89.0979,    92.1105,  1131.3105,     0.2257,   876.8783,    63.4951,     5.0000,     0.0000,          E,          0,    0.45246,     6.0000,     3.7680,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.3869,   177.0000,   175.2318,   237.7011,   175.2318,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0440,    25.0000,     0.0000,     0.0000,    52.6069,    82.0000,   529.3375,    89.9224,    92.6955,  1186.2781,     0.2231,   887.6524,    64.4413,     5.0000,     0.0000,          E,          0,    0.44905,     6.0000,     3.7414,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.3977,   182.0000,   180.1991,   244.3073,   180.1991,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0426,    25.0000,     0.0000,     0.0000,    55.2105,    82.0000,   549.2275,    90.7936,    93.3217,  1244.9875,     0.2206,   899.3633,    65.4443,     5.0000,     0.0000,          E,          0,    0.44482,     6.0000,     3.7217,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.4084,   187.0000,   185.1742,   250.9121,   185.1742,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0414,    25.0000,     0.0000,     0.0000,    57.9755,    82.0000,   570.1587,    91.5715,    93.9690,  1307.3373,     0.2181,   911.6139,    66.4994,     5.0000,     0.0000,          E,          0,    0.44007,     6.0000,     3.7071,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.4192,   192.0000,   190.1493,   257.5061,   190.1493,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0404,    25.0000,     0.0000,     0.0000,    61.0277,    82.0000,   595.6757,    92.4835,    94.7121,  1376.1653,     0.2164,   925.4678,    67.6624,     5.0000,     0.0000,          E,          0,    0.43229,     6.0000,     3.7113,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.4299,   197.0000,   195.1244,   264.0904,   195.1244,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0395,    25.0000,     0.0000,     0.0000,    64.4211,    82.0000,   624.7084,    93.3999,    95.5378,  1452.6863,     0.2150,   941.1450,    68.9543,     5.0000,     0.0000,          E,          0,    0.42274,     6.0000,     3.7287,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.4406,   202.0000,   200.0995,   270.6630,   200.0995,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0388,    25.0000,     0.0000,     0.0000,    68.0794,    82.0000,   659.4071,    94.4059,    96.4802,  1535.1787,     0.2148,   959.2148,    71.9253,     5.0000,     0.0000,          E,          0,    0.41046,     6.0000,     3.7663,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.4445,   203.8098,   201.9003,   273.0393,   201.9003,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0385,    25.0000,     0.0000,     0.0000,    69.3994,    82.0000,   672.8353,    94.7862,    96.8337,  1564.9454,     0.2150,   965.9960,    72.9979,     5.0000,     0.0000,          E,          0,    0.40580,     6.0000,     3.7827,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.3595,   164.2835,   162.5995,   220.8581,     1.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0488,    25.0000,     0.0000,     0.0000,    46.9659,    82.0000,   486.2465,    87.9887,    91.3283,  1059.0725,     0.2296,   862.5696,    62.2615,     5.0000,     0.0000,          E,          0,    0.45421,     6.0000,     3.8316,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.3853,   176.2612,   174.4978,   236.7250,     0.9900,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0442,    25.0000,     0.0000,     0.0000,    52.2261,    82.0000,   526.4439,    89.7939,    92.6047,  1177.6898,     0.2235,   885.9788,    64.2931,     5.0000,     0.0000,          E,          0,    0.44967,     6.0000,     3.7446,
Ilgas 1             , 20000.0000,     0.0000, 20000.0000,     0.4445,   203.8098,   201.9003,   273.0399,   999.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0385,    25.0000,     0.0000,     0.0000,    69.3997,    82.0000,   672.8381,    94.7863,    96.8337,  1564.9517,     0.2150,   965.9975,    72.9982,     5.0000,     0.0000,          E,          0,    0.40580,     6.0000,     3.7827,
