                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.2788,   132.1603,   130.9415,   172.6180,   130.9415,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0762,    25.0000,     0.0000,     0.0000,    38.4314,    82.0000,   434.2391,    84.5171,    88.9621,   866.6210,     0.2505,   821.5781,    57.8311,     5.0000,     0.0000,          E,          0,    0.43206,     6.0000,     4.2333,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.2888,   137.0000,   135.6863,   178.8112,   135.6863,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0698,    25.0000,     0.0000,     0.0000,    38.9468,    82.0000,   438.2261,    84.6951,    89.1093,   878.2441,     0.2495,   823.9032,    57.9226,     5.0000,     0.0000,          E,          0,    0.44226,     6.0000,     4.1186,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.2991,   142.0000,   140.5882,   185.2022,   140.5882,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0642,    25.0000,     0.0000,     0.0000,    39.7414,    82.0000,   443.8424,    84.9285,    89.2965,   896.1612,     0.2476,   826.8433,    58.1409,     5.0000,     0.0000,          E,          0,    0.45107,     6.0000,     4.0152,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.3094,   147.0000,   145.4902,   191.5869,   145.4902,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0596,    25.0000,     0.0000,     0.0000,    40.6148,    82.0000,   449.9510,    85.1166,    89.4890,   915.8569,     0.2456,   830.1348,    58.4243,     5.0000,     0.0000,          E,          0,    0.45913,     6.0000,     3.9206,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.3197,   152.0000,   150.3973,   197.9718,   150.3973,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0558,    25.0000,     0.0000,     0.0000,    41.7039,    82.0000,   457.8652,    85.3982,    89.7477,   940.4159,     0.2434,   834.5572,    58.7989,     5.0000,     0.0000,          E,          0,    0.46514,     6.0000,     3.8403,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.3301,   157.0000,   155.3642,   204.4261,   155.3642,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0524,    25.0000,     0.0000,     0.0000,    43.0356,    82.0000,   467.6642,    85.7544,    90.0573,   970.4465,     0.2410,   839.8209,    59.2735,     5.0000,     0.0000,          E,          0,    0.46920,     6.0000,     3.7720,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.3406,   162.0000,   160.3311,   210.8719,   160.3311,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0496,    25.0000,     0.0000,     0.0000,    44.7158,    82.0000,   480.1695,    86.2200,    90.4400,  1008.3348,     0.2381,   846.2915,    59.8956,     5.0000,     0.0000,          E,          0,    0.47040,     6.0000,     3.7197,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.3510,   167.0000,   165.2980,   217.3111,   165.2980,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0474,    25.0000,     0.0000,     0.0000,    46.6088,    82.0000,   494.2899,    86.7805,    90.8583,  1051.0209,     0.2351,   853.4719,    60.6007,     5.0000,     0.0000,          E,          0,    0.46999,     6.0000,     3.6774,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.3613,   172.0000,   170.2649,   223.7407,   170.2649,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0454,    25.0000,     0.0000,     0.0000,    48.6301,    82.0000,   509.2616,    87.4380,    91.3023,  1096.6012,     0.2322,   861.3868,    61.3489,     5.0000,     0.0000,          E,          0,    0.46880,     6.0000,     3.6410,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.3717,   177.0000,   175.2318,   230.1629,   175.2318,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0439,    25.0000,     0.0000,     0.0000,    50.9854,    82.0000,   527.4453,    88.2445,    91.8394,  1149.7131,     0.2294,   871.0993,    62.2305,     5.0000,     0.0000,          E,          0,    0.46481,     6.0000,     3.6198,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.3821,   182.0000,   180.1991,   236.5779,   180.1991,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0424,    25.0000,     0.0000,     0.0000,    53.5637,    82.0000,   547.3551,    89.1118,    92.4209,  1207.8519,     0.2266,   881.7723,    63.1929,     5.0000,     0.0000,          E,          0,    0.45962,     6.0000,     3.6067,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.3924,   187.0000,   185.1742,   242.9933,   185.1742,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0412,    25.0000,     0.0000,     0.0000,    56.3191,    82.0000,   568.6129,    89.9827,    93.0345,  1269.9858,     0.2239,   893.1285,    64.2136,     5.0000,     0.0000,          E,          0,    0.45372,     6.0000,     3.5994,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.4028,   192.0000,   190.1493,   249.3990,   190.1493,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0403,    25.0000,     0.0000,     0.0000,    59.3089,    82.0000,   591.2611,    90.9201,    93.6803,  1337.4062,     0.2210,   904.9289,    65.3158,     5.0000,     0.0000,          E,          0,    0.44718,     6.0000,     3.5978,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.4131,   197.0000,   195.1244,   255.7970,   195.1244,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0394,    25.0000,     0.0000,     0.0000,    62.5493,    82.0000,   615.9470,    91.8818,    94.3767,  1410.4763,     0.2183,   917.4988,    66.5040,     5.0000,     0.0000,          E,          0,    0.43964,     6.0000,     3.6040,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.4234,   202.0000,   200.0995,   262.1849,   200.0995,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0387,    25.0000,     0.0000,     0.0000,    66.0188,    82.0000,   644.0156,    92.8186,    95.1404,  1488.7141,     0.2163,   931.9055,    67.7663,     5.0000,     0.0000,          E,          0,    0.43040,     6.0000,     3.6222,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.4337,   207.0000,   205.0747,   268.5647,   205.0747,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0380,    25.0000,     0.0000,     0.0000,    69.7993,    82.0000,   676.5731,    93.8172,    95.9861,  1573.9628,     0.2149,   947.9909,    69.2905,     5.0000,     0.0000,          E,          0,    0.41912,     6.0000,     3.6555,
Vidutinis 15        , 18000.0000,     0.0000, 20000.0000,     0.4440,   212.0000,   210.0497,   274.9340,   210.0497,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0375,    25.0000,     0.0000,     0.0000,    73.7460,    82.0000,   712.5315,    94.7815,    96.8898,  1662.9608,     0.2142,   965.4941,    72.3504,     5.0000,     0.0000,          E,          0,    0.40691,     6.0000,     3.6992,
