                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.2533,   119.3950,   118.8632,   159.9014,   118.8632,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0771,    25.0000,     0.0000,     0.0000,    30.2246,    82.0000,   372.5002,    82.6770,    88.2283,   681.5599,     0.2733,   807.9782,    55.7328,     5.0000,     0.0000,          E,          0,    0.50980,     6.0000,     3.8573,
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.2625,   124.0000,   123.2076,   165.6971,   123.2076,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0706,    25.0000,     0.0000,     0.0000,    30.5621,    82.0000,   376.9537,    82.9386,    88.4282,   689.1701,     0.2735,   811.1095,    55.8596,     5.0000,     0.0000,          E,          0,    0.51915,     6.0000,     3.7658,
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.2724,   129.0000,   127.9245,   171.9847,   127.9245,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0648,    25.0000,     0.0000,     0.0000,    31.1223,    82.0000,   382.6293,    83.2574,    88.6730,   701.8022,     0.2726,   814.9660,    56.0187,     5.0000,     0.0000,          E,          0,    0.52789,     6.0000,     3.6767,
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.2826,   134.0000,   132.7451,   178.4057,   132.7451,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0599,    25.0000,     0.0000,     0.0000,    31.9853,    82.0000,   389.7897,    83.6411,    88.9728,   721.2634,     0.2702,   819.7208,    56.2478,     5.0000,     0.0000,          E,          0,    0.53466,     6.0000,     3.5977,
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.2929,   139.0000,   137.6470,   184.9256,   137.6470,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0558,    25.0000,     0.0000,     0.0000,    33.0599,    82.0000,   397.6613,    84.0713,    89.3053,   745.4962,     0.2667,   825.0246,    56.5414,     5.0000,     0.0000,          E,          0,    0.54047,     6.0000,     3.5252,
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.3032,   144.0000,   142.5490,   191.4394,   142.5490,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0523,    25.0000,     0.0000,     0.0000,    34.1441,    82.0000,   404.7880,    84.4624,    89.6226,   769.9440,     0.2629,   830.2012,    56.8319,     5.0000,     0.0000,          E,          0,    0.54705,     6.0000,     3.4537,
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.3135,   149.0000,   147.4510,   197.9464,   147.4510,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0495,    25.0000,     0.0000,     0.0000,    35.6076,    82.0000,   415.3635,    84.8971,    89.9980,   802.9465,     0.2586,   836.5663,    57.2410,     5.0000,     0.0000,          E,          0,    0.54879,     6.0000,     3.4015,
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.3239,   154.0000,   152.3841,   204.4869,   152.3841,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0472,    25.0000,     0.0000,     0.0000,    37.3068,    82.0000,   427.9310,    85.3605,    90.3952,   841.2619,     0.2543,   843.2774,    57.7187,     5.0000,     0.0000,          E,          0,    0.54795,     6.0000,     3.3602,
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.3343,   159.0000,   157.3510,   211.0650,   157.3510,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0452,    25.0000,     0.0000,     0.0000,    39.3129,    82.0000,   442.8249,    85.8912,    90.8247,   886.5003,     0.2498,   850.6714,    58.4322,     5.0000,     0.0000,          E,          0,    0.54438,     6.0000,     3.3303,
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.3447,   164.0000,   162.3179,   217.6343,   162.3179,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0436,    25.0000,     0.0000,     0.0000,    41.4534,    82.0000,   458.7234,    86.4114,    91.2460,   934.7681,     0.2454,   857.9340,    59.3414,     5.0000,     0.0000,          E,          0,    0.53983,     6.0000,     3.3062,
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.3551,   169.0000,   167.2848,   224.1959,   167.2848,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0421,    25.0000,     0.0000,     0.0000,    43.7597,    82.0000,   476.1743,    87.0721,    91.7446,   986.7753,     0.2413,   866.5496,    60.3175,     5.0000,     0.0000,          E,          0,    0.53383,     6.0000,     3.2895,
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.3655,   174.0000,   172.2516,   230.7496,   172.2516,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0410,    25.0000,     0.0000,     0.0000,    46.3093,    82.0000,   495.6160,    87.8620,    92.3163,  1044.2681,     0.2373,   876.5259,    61.3967,     5.0000,     0.0000,          E,          0,    0.52611,     6.0000,     3.2814,
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.3759,   179.0000,   177.2185,   237.2936,   177.2185,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0399,    25.0000,     0.0000,     0.0000,    49.0761,    82.0000,   516.7274,    88.7796,    92.9308,  1106.6578,     0.2335,   887.6981,    62.5645,     5.0000,     0.0000,          E,          0,    0.51728,     6.0000,     3.2800,
255 bandymas        , 18000.0000,    10.0000, 16500.0000,     0.3862,   184.0000,   182.1891,   243.8343,   182.1891,    30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0391,    25.0000,     0.0000,     0.0000,    51.9897,    82.0000,   539.5827,    89.7792,    93.5888,  1172.3602,     0.2301,   899.9594,    63.7850,     5.0000,     0.0000,          E,          0,    0.50749,     6.0000,     3.2851,
