                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.2856,   135.4823,   134.1983,   178.6129,   134.1983,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0762,    25.0000,     0.0000,     0.0000,    41.7711,    82.0000,   462.1833,    86.4656,    90.5960,   941.9318,     0.2453,   847.7366,    59.7213,     5.0000,     0.0000,          E,          0,    0.35400,     6.0000,     5.0252,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.2950,   140.0000,   138.6274,   184.4466,   138.6274,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0703,    25.0000,     0.0000,     0.0000,    42.3327,    82.0000,   466.1302,    86.6247,    90.7344,   954.5959,     0.2442,   849.8600,    59.8792,     5.0000,     0.0000,          E,          0,    0.36352,     6.0000,     4.8755,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.3053,   145.0000,   143.5294,   190.8971,   143.5294,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0648,    25.0000,     0.0000,     0.0000,    42.9683,    82.0000,   470.4100,    86.7561,    90.8763,   968.9283,     0.2427,   852.1985,    60.0555,     5.0000,     0.0000,          E,          0,    0.37392,     6.0000,     4.7210,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.3156,   150.0000,   148.4314,   197.3400,   148.4314,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0602,    25.0000,     0.0000,     0.0000,    43.8986,    82.0000,   477.1467,    86.9659,    91.0872,   989.9058,     0.2410,   855.8779,    60.3658,     5.0000,     0.0000,          E,          0,    0.38215,     6.0000,     4.5911,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.3260,   155.0000,   153.3775,   203.8341,   153.3775,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0563,    25.0000,     0.0000,     0.0000,    45.0861,    82.0000,   485.9017,    87.2598,    91.3545,  1016.6844,     0.2390,   860.5050,    60.7884,     5.0000,     0.0000,          E,          0,    0.38863,     6.0000,     4.4796,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.3364,   160.0000,   158.3444,   210.3477,   158.3444,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0530,    25.0000,     0.0000,     0.0000,    46.4841,    82.0000,   496.2989,    87.6460,    91.6626,  1048.2090,     0.2367,   865.9265,    61.3001,     5.0000,     0.0000,          E,          0,    0.39361,     6.0000,     4.3835,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.3468,   165.0000,   163.3112,   216.8520,   163.3112,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0501,    25.0000,     0.0000,     0.0000,    48.0962,    82.0000,   508.3463,    88.0997,    92.0087,  1084.5610,     0.2344,   871.9901,    61.9015,     5.0000,     0.0000,          E,          0,    0.39708,     6.0000,     4.3019,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.3572,   170.0000,   168.2781,   223.3485,   168.2781,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0479,    25.0000,     0.0000,     0.0000,    50.0301,    82.0000,   523.1995,    88.7235,    92.4410,  1128.1720,     0.2319,   879.7567,    62.6410,     5.0000,     0.0000,          E,          0,    0.39822,     6.0000,     4.2390,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.3676,   175.0000,   173.2450,   229.8384,   173.2450,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0459,    25.0000,     0.0000,     0.0000,    52.1724,    82.0000,   539.8312,    89.4435,    92.9258,  1176.4800,     0.2294,   888.6979,    63.4635,     5.0000,     0.0000,          E,          0,    0.39797,     6.0000,     4.1884,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.3779,   180.0000,   178.2119,   236.3181,   178.2119,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0443,    25.0000,     0.0000,     0.0000,    54.6540,    82.0000,   559.1651,    90.2567,    93.4842,  1232.4385,     0.2269,   899.0875,    64.4277,     5.0000,     0.0000,          E,          0,    0.39580,     6.0000,     4.1531,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.3883,   185.0000,   183.1841,   242.7967,   183.1841,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0429,    25.0000,     0.0000,     0.0000,    57.3171,    82.0000,   579.8822,    91.0904,    94.0742,  1292.4921,     0.2243,   910.1777,    65.4584,     5.0000,     0.0000,          E,          0,    0.39283,     6.0000,     4.1260,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.3986,   190.0000,   188.1592,   249.2701,   188.1592,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0416,    25.0000,     0.0000,     0.0000,    60.0807,    82.0000,   601.1920,    91.9431,    94.6769,  1354.8093,     0.2219,   921.6199,    66.5172,     5.0000,     0.0000,          E,          0,    0.38968,     6.0000,     4.1029,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.4090,   195.0000,   193.1344,   255.7336,   193.1344,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0406,    25.0000,     0.0000,     0.0000,    63.1674,    82.0000,   624.9648,    92.8299,    95.3402,  1424.4156,     0.2194,   933.9769,    67.7039,     5.0000,     0.0000,          E,          0,    0.38520,     6.0000,     4.0915,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.4193,   200.0000,   198.1095,   262.1894,   198.1095,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0397,    25.0000,     0.0000,     0.0000,    66.5535,    82.0000,   652.7601,    93.7445,    96.0864,  1500.7714,     0.2175,   948.2452,    69.0108,     5.0000,     0.0000,          E,          0,    0.37868,     6.0000,     4.0971,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.4296,   205.0000,   203.0846,   268.6349,   203.0846,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0390,    25.0000,     0.0000,     0.0000,    70.2187,    82.0000,   684.6613,    94.7129,    96.9067,  1583.4214,     0.2162,   964.0532,    71.9785,     5.0000,     0.0000,          E,          0,    0.37045,     6.0000,     4.1188,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.4331,   206.6895,   204.7657,   270.8105,   204.7657,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0387,    25.0000,     0.0000,     0.0000,    71.4916,    82.0000,   695.7415,    95.0113,    97.1880,  1612.1249,     0.2158,   969.5660,    72.9986,     5.0000,     0.0000,          E,          0,    0.36768,     6.0000,     4.1270,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.3612,   171.9357,   170.2010,   225.8622,     1.0000,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0471,    25.0000,     0.0000,     0.0000,    50.8287,    82.0000,   529.3930,    88.9919,    92.6221,  1146.1787,     0.2309,   883.0820,    62.9468,     5.0000,     0.0000,          E,          0,    0.39831,     6.0000,     4.2179,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.3827,   182.3250,   180.5224,   239.3294,     0.9900,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0436,    25.0000,     0.0000,     0.0000,    55.9014,    82.0000,   568.8929,    90.6512,    93.7629,  1260.5679,     0.2256,   904.3065,    64.9133,     5.0000,     0.0000,          E,          0,    0.39433,     6.0000,     4.1408,
Vidutinis 10        , 18000.0000,     5.0000, 21000.0000,     0.4331,   206.6895,   204.7657,   270.8107,   999.0000,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0387,    25.0000,     0.0000,     0.0000,    71.4917,    82.0000,   695.7425,    95.0114,    97.1881,  1612.1273,     0.2158,   969.5667,    72.9987,     5.0000,     0.0000,          E,          0,    0.36768,     6.0000,     4.1270,
