                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.2788,   132.1603,   130.9415,   174.3188,   130.9415,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0764,    25.0000,     0.0000,     0.0000,    38.9075,    82.0000,   439.7666,    85.3868,    89.8629,   877.3583,     0.2506,   835.4581,    58.4198,     5.0000,     0.0000,          E,          0,    0.39639,     6.0000,     4.5880,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.2888,   137.0000,   135.6863,   180.5731,   135.6863,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0700,    25.0000,     0.0000,     0.0000,    39.4688,    82.0000,   444.1250,    85.5793,    90.0202,   890.0152,     0.2495,   837.9741,    58.5796,     5.0000,     0.0000,          E,          0,    0.40658,     6.0000,     4.4532,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.2991,   142.0000,   140.5882,   187.0270,   140.5882,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0644,    25.0000,     0.0000,     0.0000,    40.2245,    82.0000,   449.4740,    85.7965,    90.1971,   907.0557,     0.2478,   840.7736,    58.8224,     5.0000,     0.0000,          E,          0,    0.41610,     6.0000,     4.3281,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.3094,   147.0000,   145.4902,   193.4746,   145.4902,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0598,    25.0000,     0.0000,     0.0000,    41.1283,    82.0000,   455.8809,    85.9984,    90.3995,   927.4368,     0.2458,   844.2753,    59.1295,     5.0000,     0.0000,          E,          0,    0.42440,     6.0000,     4.2170,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.3197,   152.0000,   150.3973,   199.9223,   150.3973,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0559,    25.0000,     0.0000,     0.0000,    42.2580,    82.0000,   464.1739,    86.2932,    90.6677,   952.9106,     0.2436,   848.9124,    59.5358,     5.0000,     0.0000,          E,          0,    0.43071,     6.0000,     4.1225,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.3301,   157.0000,   155.3642,   206.4402,   155.3642,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0526,    25.0000,     0.0000,     0.0000,    43.6211,    82.0000,   474.3002,    86.6587,    90.9841,   983.6498,     0.2411,   854.3598,    60.0418,     5.0000,     0.0000,          E,          0,    0.43525,     6.0000,     4.0414,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.3406,   162.0000,   160.3311,   212.9496,   160.3311,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0498,    25.0000,     0.0000,     0.0000,    45.3276,    82.0000,   487.1225,    87.1312,    91.3722,  1022.1307,     0.2383,   861.0069,    60.6986,     5.0000,     0.0000,          E,          0,    0.43716,     6.0000,     3.9780,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.3510,   167.0000,   165.2980,   219.4523,   165.2980,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0475,    25.0000,     0.0000,     0.0000,    47.2028,    82.0000,   501.2321,    87.6875,    91.7850,  1064.4154,     0.2354,   868.2085,    61.4223,     5.0000,     0.0000,          E,          0,    0.43783,     6.0000,     3.9245,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.3613,   172.0000,   170.2649,   225.9452,   170.2649,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0456,    25.0000,     0.0000,     0.0000,    49.2872,    82.0000,   516.9026,    88.3710,    92.2453,  1111.4174,     0.2325,   876.5231,    62.2304,     5.0000,     0.0000,          E,          0,    0.43711,     6.0000,     3.8810,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.3717,   177.0000,   175.2318,   232.4307,   175.2318,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0440,    25.0000,     0.0000,     0.0000,    51.6379,    82.0000,   535.2303,    89.1736,    92.7806,  1164.4255,     0.2298,   886.3444,    63.1473,     5.0000,     0.0000,          E,          0,    0.43426,     6.0000,     3.8516,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.3821,   182.0000,   180.1991,   238.9089,   180.1991,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0426,    25.0000,     0.0000,     0.0000,    54.2887,    82.0000,   555.9367,    90.0636,    93.3789,  1224.2015,     0.2271,   897.4623,    64.1864,     5.0000,     0.0000,          E,          0,    0.42974,     6.0000,     3.8338,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.3924,   187.0000,   185.1742,   245.3875,   185.1742,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0414,    25.0000,     0.0000,     0.0000,    57.0489,    82.0000,   577.4589,    90.9328,    93.9923,  1286.4430,     0.2244,   908.9795,    65.2580,     5.0000,     0.0000,          E,          0,    0.42494,     6.0000,     3.8203,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.4028,   192.0000,   190.1493,   251.8563,   190.1493,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0403,    25.0000,     0.0000,     0.0000,    60.0428,    82.0000,   600.4266,    91.8715,    94.6392,  1353.9550,     0.2217,   920.9706,    66.4176,     5.0000,     0.0000,          E,          0,    0.41946,     6.0000,     3.8134,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.4131,   197.0000,   195.1244,   258.3174,   195.1244,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0395,    25.0000,     0.0000,     0.0000,    63.3045,    82.0000,   625.5663,    92.8280,    95.3399,  1427.5065,     0.2191,   933.8487,    67.6785,     5.0000,     0.0000,          E,          0,    0.41293,     6.0000,     3.8153,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.4234,   202.0000,   200.0995,   264.7682,   200.0995,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0387,    25.0000,     0.0000,     0.0000,    66.8308,    82.0000,   654.6112,    93.7831,    96.1183,  1507.0244,     0.2172,   948.7405,    69.0787,     5.0000,     0.0000,          E,          0,    0.40447,     6.0000,     3.8321,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.4337,   207.0000,   205.0747,   271.2108,   205.0747,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0381,    25.0000,     0.0000,     0.0000,    70.6414,    82.0000,   687.8259,    94.7820,    96.9702,  1592.9521,     0.2159,   965.1838,    72.1664,     5.0000,     0.0000,          E,          0,    0.39430,     6.0000,     3.8635,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.4365,   208.3387,   206.4066,   272.9334,   206.4066,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0380,    25.0000,     0.0000,     0.0000,    71.6803,    82.0000,   696.8786,    95.0257,    97.1994,  1616.3792,     0.2156,   969.6774,    72.9989,     5.0000,     0.0000,          E,          0,    0.39165,     6.0000,     3.8723,
Vidutinis 18        , 18000.0000,     5.0000, 20000.0000,     0.3530,   167.9608,   166.2524,   220.7005,     1.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0471,    25.0000,     0.0000,     0.0000,    47.5804,    82.0000,   504.0424,    87.8096,    91.8676,  1072.9312,     0.2349,   869.6924,    61.5680,     5.0000,     0.0000,          E,          0,    0.43786,     6.0000,     3.9150,
