                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
Vidutinis 17        , 18000.0000,     5.0000, 20000.0000,     0.2788,   132.1603,   130.9415,   174.3188,   130.9415,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0764,    25.0000,     0.0000,     0.0000,    38.9075,    82.0000,   439.7666,    85.3868,    89.8629,   877.3583,     0.2506,   835.4581,    58.4198,     5.0000,     0.0000,          E,          0,    0.43050,     6.0000,     4.2244,
Vidutinis 17        , 18000.0000,     5.0000, 20000.0000,     0.2888,   137.0000,   135.6863,   180.5731,   135.6863,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0700,    25.0000,     0.0000,     0.0000,    39.4688,    82.0000,   444.1250,    85.5793,    90.0202,   890.0152,     0.2495,   837.9741,    58.5796,     5.0000,     0.0000,          E,          0,    0.44036,     6.0000,     4.1116,
Vidutinis 17        , 18000.0000,     5.0000, 20000.0000,     0.2991,   142.0000,   140.5882,   187.0270,   140.5882,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0644,    25.0000,     0.0000,     0.0000,    40.2245,    82.0000,   449.4740,    85.7965,    90.1971,   907.0557,     0.2478,   840.7736,    58.8224,     5.0000,     0.0000,          E,          0,    0.44947,     6.0000,     4.0068,
Vidutinis 17        , 18000.0000,     5.0000, 20000.0000,     0.3094,   147.0000,   145.4902,   193.4746,   145.4902,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0598,    25.0000,     0.0000,     0.0000,    41.1283,    82.0000,   455.8809,    85.9984,    90.3995,   927.4368,     0.2458,   844.2753,    59.1295,     5.0000,     0.0000,          E,          0,    0.45730,     6.0000,     3.9136,
Vidutinis 17        , 18000.0000,     5.0000, 20000.0000,     0.3197,   152.0000,   150.3973,   199.9223,   150.3973,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0559,    25.0000,     0.0000,     0.0000,    42.2580,    82.0000,   464.1739,    86.2932,    90.6677,   952.9106,     0.2436,   848.9124,    59.5358,     5.0000,     0.0000,          E,          0,    0.46302,     6.0000,     3.8348,
Vidutinis 17        , 18000.0000,     5.0000, 20000.0000,     0.3301,   157.0000,   155.3642,   206.4402,   155.3642,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0526,    25.0000,     0.0000,     0.0000,    43.6211,    82.0000,   474.3002,    86.6587,    90.9841,   983.6498,     0.2411,   854.3598,    60.0418,     5.0000,     0.0000,          E,          0,    0.46688,     6.0000,     3.7676,
Vidutinis 17        , 18000.0000,     5.0000, 20000.0000,     0.3406,   162.0000,   160.3311,   212.9496,   160.3311,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0498,    25.0000,     0.0000,     0.0000,    45.3276,    82.0000,   487.1225,    87.1312,    91.3722,  1022.1307,     0.2383,   861.0069,    60.6986,     5.0000,     0.0000,          E,          0,    0.46795,     6.0000,     3.7163,
Vidutinis 17        , 18000.0000,     5.0000, 20000.0000,     0.3510,   167.0000,   165.2980,   219.4523,   165.2980,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0475,    25.0000,     0.0000,     0.0000,    47.2028,    82.0000,   501.2321,    87.6875,    91.7850,  1064.4154,     0.2354,   868.2085,    61.4223,     5.0000,     0.0000,          E,          0,    0.46775,     6.0000,     3.6734,
Vidutinis 17        , 18000.0000,     5.0000, 20000.0000,     0.3613,   172.0000,   170.2649,   225.9452,   170.2649,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0456,    25.0000,     0.0000,     0.0000,    49.2872,    82.0000,   516.9026,    88.3710,    92.2453,  1111.4174,     0.2325,   876.5231,    62.2304,     5.0000,     0.0000,          E,          0,    0.46613,     6.0000,     3.6394,
